IO,IO1,IO2,IO3,IO4,IO5,IO6,IO7,IO8,IO9,IO10,IO11,IO12,IO13,IO14,IO15,IO16,IO17,IO18,IO19,IO20,IO21,IO22,IO23,IO24,IO25,IO26,IO27,IO28,IO29,IO30,IO31,IO32,IO33,IO34,IO35,IO36,IO37,IO38,IO39,IO40,IO41,IO42,IO43,IO44,IO45,IO46,IO47,IO48,IO49,IO50,IO51,IO52,IO53,IO54,IO55,IO56,IO57,IO58,IO59
IO1,"1,614,500,218","915,362","9,221,103","1,013,004","1,843,415,160","4,434,230","7,831","695,678","3,514,553","516,155","25,239","2,956,444","2,710,250","5,923,226","5,757,890","188,855","726,682",189,"144,765","6,319","91,997","314,241","45,545","5,162,004","156,017","11,866,451","2,535,614","2,567,683","1,684,370","319,097","246,591","456,880","4,040,473",492,"81,839,002","591,324,920","1,053,190","81,062","612,215","2,741,987","62,664","157,765","8,064,429","32,433","3,783","76,531","195,565","39,281","980,712","1,242,202","1,597,243","2,343,161","52,338","1,032",198,"4,517,111","1,418,950","3,308",0
IO2,0,"6,444,728",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,047,461","86,827,453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,277,000",0,0,0
IO3,"33,959,832","2,518,723","12,399,286,595","404,295,616","34,446,827","12,027,357","4,729,452","4,482,900","4,697,847","13,997,616","889,997","107,995,712,746","8,372,401,802","17,519,837","241,088,114","1,608,665,069","59,264,587","121,815","64,029,815","4,740,623","4,773,715","26,281,077","875,201","11,019,922,297","21,075,846","462,770,911","665,276,767","122,148,809","389,750,125","311,199,986","262,662,968","551,486,882","118,393,381","488,472","7,512,892","45,252,701","6,907,749","11,765,794","16,392,048","14,764,666","3,991,154","701,207","38,047,195","322,677","10,440,294","28,066,147","6,569,439","515,557","48,488,977","358,672,140","44,690,475","99,790,029","12,098,392","109,150","131,571","2,308,981","4,435,956","7,030,021",0
IO4,0,0,"2,441,746,247","1,761,842,372",0,"5,059",0,"147,025",0,0,0,0,"1,724,853",0,"15,321,101","3,370,611",0,0,0,"32,102",0,0,"5,316",42,0,"31,957,021","12,789,569",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"193,543",0,0,0,0,"7,396",0,0,0
IO5,"548,130,337","16,384,314","357,891","199,536","287,015,470","84,809","18,747","86,112","256,696","11,100","8,063","2,278,965","157,351","60,976","13,568,840","1,512,538","325,560",984,"148,647","244,034","101,146","1,005,689","6,122","464,476","11,936","1,835,998","1,433,433","762,104","7,370,500","753,381","59,305","2,629,774","9,387,170",629,"109,474,860","1,664,067,129","206,200","372,662","43,672","125,304","25,576,184","81,663","9,784,289","995,817","105,977","4,327,708","9,839,640","555,023","7,801,179","11,144,750","3,155,055","6,723,715","5,011,001",234,"73,966","13,053,916","167,453","63,835",0
IO6,"1,181",104,"6,832","3,967","2,160,827","674,336",373,"124,238","3,983",291,"3,577","2,059,259","10,242","1,002","10,957","53,790","195,173",946,"57,517","264,688","337,409","1,130,032",103,"148,750",72,"16,559,864","6,720,831","638,800","1,364,522","494,234","255,155","31,580,878","590,431",320,"102,323,441","138,946,762","822,686","4,479,531","39,620","1,114,229","444,152","93,745","951,249","1,157,977","113,000","2,164,625","14,340,280","645,347","5,896,592","12,385,779","5,376,292","7,448,459",127,4,3,"469,234",116,289,0
IO7,"111,350","9,803","456,587","156,409","95,285","23,679","38,211,914","18,797,670","17,499","377,929","3,225","902,640","512,510","1,744,978","1,062,242","519,924","202,274",177,"242,718","3,557","7,061,914","91,073","3,020","111,924","52,232","598,605","814,483","13,749","23,360","33,730","57,502","105,889","56,151",442,"8,687,175","142,212","189,949","13,647","62,841","6,975","4,423",335,"6,550","1,256","13,517","7,860","25,388",677,"52,950","1,040,061","23,763","9,337,274","38,286",408,238,"4,714","37,465","55,017",0
IO8,0,"880,701","11,219,566","2,815,589","35,597","45,885","289,903","2,048,432","218,268","967,580","218,268","2,109,613","1,066,392","3,205,903","2,988,705","731,625","385,985","218,268","218,268","218,268","191,950","335,670","65,154","1,050,301","338,531","603,480","2,170,964","218,268","108,685","167,735","218,268","3,765,137","2,253,205","218,268","670,962","4,241","2,909,638","1,624,029","232,283","218,268","218,268","218,268","429,215","218,268","218,268","218,268","1,358,182","78,842","1,596,747","35,051,313","2,261,072","1,214,589","1,091,242","161,424","150,397","450,287","218,268","218,268",0
IO9,"349,536","2,366","408,444","108,193","59,074","29,625","19,920","17,495","144,945,773","62,588","1,010","295,848","126,279","32,056","291,321","20,901,766","5,062,333",550,"86,369","334,958","89,372,848","105,871","9,204","224,478","15,813","91,421,232","168,479,509","147,973","13,647,207","129,463","84,613","184,645","126,927",478,"88,504","829,343","3,089,259","13,563","24,430","462,591","199,800","18,872","573,835","53,906","37,115","656,208","235,882","30,483","299,339","9,555,336","2,410,621","1,611,716","97,426","1,914","4,108","15,351","333,537","11,927",0
IO10,"3,736,126","597,917","1,915,393","1,864,556","22,102,361","1,299,890","2,104,894","1,225,596","1,853,877","224,780,259","14,713,047","3,067,541","3,787,390","12,468,759","33,047,306","3,662,620","5,161,864","17,708","121,393,187","25,692","262,016","2,862,095","3,884,408","1,892,124","2,275,762","1,856,180","161,624","1,880,849","5,905,851","607,712","1,864,620","1,884,018","183,683","74,514","1,867,439","10,986,174","2,899,390","812,661","1,969,854","1,950,283","1,892,721","1,853,215","3,761,790","1,860,858","1,856,522","1,992,745","1,899,533","1,855,746","6,582,668","2,578,170","50,549,154","237,347,913","1,870,373","2,160,583","1,849,979","1,852,210","523,045","1,850,265",0
